decision_id,slot_id,action,tile_id,program,request_id,reason
D000228,N20261010-S013,wait,,,,no legal observable candidate can finish in its known window
D000229,N20261010-S014,wait,,,,no legal observable candidate can finish in its known window
D000230,N20261010-S015,wait,,,,no legal observable candidate can finish in its known window
D000231,N20261010-S016,wait,,,,no legal observable candidate can finish in its known window
D000232,N20261010-S017,wait,,,,no legal observable candidate can finish in its known window
D000233,N20261010-S018,wait,,,,no legal observable candidate can finish in its known window
D000234,N20261010-S019,wait,,,,no legal observable candidate can finish in its known window
D000235,N20261010-S020,wait,,,,no legal observable candidate can finish in its known window
D000236,N20261010-S021,wait,,,,no legal observable candidate can finish in its known window
D000237,N20261010-S022,wait,,,,no legal observable candidate can finish in its known window
D000238,N20261010-S023,wait,,,,no legal observable candidate can finish in its known window
D000239,N20261010-S024,wait,,,,no legal observable candidate can finish in its known window
D000240,N20261010-S025,wait,,,,no legal observable candidate can finish in its known window
D000241,N20261010-S026,wait,,,,no legal observable candidate can finish in its known window
D000242,N20261010-S027,wait,,,,no legal observable candidate can finish in its known window
D000243,N20261010-S028,wait,,,,no legal observable candidate can finish in its known window
D000244,N20261010-S029,wait,,,,no legal observable candidate can finish in its known window
D000245,N20261010-S030,wait,,,,no legal observable candidate can finish in its known window
D000246,N20261010-S031,wait,,,,no legal observable candidate can finish in its known window
D000247,N20261010-S032,wait,,,,no legal observable candidate can finish in its known window
D000248,N20261010-S033,wait,,,,no legal observable candidate can finish in its known window
D000249,N20261010-S034,wait,,,,no legal observable candidate can finish in its known window
D000250,N20261010-S035,wait,,,,no legal observable candidate can finish in its known window
D000251,N20261010-S036,wait,,,,no legal observable candidate can finish in its known window
D000252,N20261010-S037,wait,,,,no legal observable candidate can finish in its known window
D000253,N20261010-S038,wait,,,,no legal observable candidate can finish in its known window
D000254,N20261010-S039,wait,,,,no legal observable candidate can finish in its known window
D000255,N20261010-S040,wait,,,,no legal observable candidate can finish in its known window
D000256,N20261010-S041,observe,T00029,BACKUP,,highest public current-snapshot estimate
D000257,N20261010-S042,wait,,,,no legal observable candidate can finish in its known window
D000258,N20261011-S001,wait,,,,no legal observable candidate can finish in its known window
D000259,N20261011-S002,wait,,,,no legal observable candidate can finish in its known window
D000260,N20261011-S003,wait,,,,no legal observable candidate can finish in its known window
D000261,N20261011-S004,wait,,,,no legal observable candidate can finish in its known window
D000262,N20261011-S005,wait,,,,no legal observable candidate can finish in its known window
D000263,N20261011-S006,wait,,,,no legal observable candidate can finish in its known window
D000264,N20261011-S007,wait,,,,no legal observable candidate can finish in its known window
D000265,N20261011-S008,wait,,,,no legal observable candidate can finish in its known window
D000266,N20261011-S009,wait,,,,no legal observable candidate can finish in its known window
D000267,N20261011-S010,wait,,,,no legal observable candidate can finish in its known window
D000268,N20261011-S011,wait,,,,no legal observable candidate can finish in its known window
D000269,N20261011-S012,wait,,,,no legal observable candidate can finish in its known window
D000270,N20261011-S013,wait,,,,no legal observable candidate can finish in its known window
D000271,N20261011-S014,wait,,,,no legal observable candidate can finish in its known window
D000272,N20261011-S015,wait,,,,no legal observable candidate can finish in its known window
D000273,N20261011-S016,wait,,,,no legal observable candidate can finish in its known window
D000274,N20261011-S017,wait,,,,no legal observable candidate can finish in its known window
D000275,N20261011-S018,wait,,,,no legal observable candidate can finish in its known window
D000276,N20261011-S019,wait,,,,no legal observable candidate can finish in its known window
D000277,N20261011-S020,wait,,,,no legal observable candidate can finish in its known window
D000278,N20261011-S021,wait,,,,no legal observable candidate can finish in its known window
D000279,N20261011-S022,wait,,,,no legal observable candidate can finish in its known window
D000280,N20261011-S023,wait,,,,no legal observable candidate can finish in its known window
D000281,N20261011-S024,wait,,,,no legal observable candidate can finish in its known window
D000282,N20261011-S025,wait,,,,no legal observable candidate can finish in its known window
D000283,N20261011-S026,wait,,,,no legal observable candidate can finish in its known window
D000284,N20261011-S027,wait,,,,no legal observable candidate can finish in its known window
D000285,N20261011-S028,wait,,,,no legal observable candidate can finish in its known window
D000286,N20261011-S029,wait,,,,no legal observable candidate can finish in its known window
D000287,N20261011-S030,wait,,,,no legal observable candidate can finish in its known window
D000288,N20261011-S031,wait,,,,no legal observable candidate can finish in its known window
D000289,N20261011-S032,wait,,,,no legal observable candidate can finish in its known window
D000290,N20261011-S033,wait,,,,no legal observable candidate can finish in its known window
D000291,N20261011-S034,wait,,,,no legal observable candidate can finish in its known window
D000292,N20261011-S035,wait,,,,no legal observable candidate can finish in its known window
D000293,N20261011-S036,wait,,,,no legal observable candidate can finish in its known window
D000294,N20261011-S037,wait,,,,no legal observable candidate can finish in its known window
D000295,N20261011-S038,wait,,,,no legal observable candidate can finish in its known window
D000296,N20261011-S039,wait,,,,no legal observable candidate can finish in its known window
D000297,N20261011-S040,wait,,,,no legal observable candidate can finish in its known window
D000298,N20261011-S041,wait,,,,no legal observable candidate can finish in its known window
D000299,N20261011-S042,wait,,,,no legal observable candidate can finish in its known window
